"","year","fips","noncit_pop","moe"
"483",2011,"37005",538,140
"484",2012,"37005",484,192
"485",2013,"37005",568,111
"486",2014,"37005",560,136
"487",2015,"37005",542,142
"488",2016,"37005",506,127
"489",2017,"37005",500,81
"490",2018,"37005",397,79
"491",2009,"51005",86,71
"492",2010,"51005",121,98
"493",2011,"51005",161,104
"494",2012,"51005",171,97
"495",2013,"51005",156,75
"496",2014,"51005",177,78
"497",2015,"51005",165,52
"498",2016,"51005",131,68
"499",2017,"51005",118,61
"500",2018,"51005",88,60
"501",2009,"42003",28300,1252
"502",2010,"42003",29895,1368
"503",2011,"42003",30044,1578
"504",2012,"42003",30900,1639
"505",2013,"42003",32947,1368
"506",2014,"42003",34496,1394
"507",2015,"42003",36290,1494
"508",2016,"42003",37864,1368
"509",2017,"42003",38121,1482
"510",2018,"42003",37018,1393
"511",2009,"18003",11258,1017
"512",2010,"18003",11462,800
"513",2011,"18003",11650,1019
"514",2012,"18003",13127,1108
"515",2013,"18003",13066,906
"516",2014,"18003",13106,858
"517",2015,"18003",13537,937
"518",2016,"18003",13119,984
"519",2017,"18003",12519,823
"520",2018,"18003",12463,940
"521",2009,"20001",22,34
"522",2010,"20001",54,42
"523",2011,"20001",30,26
"524",2012,"20001",38,34
"525",2013,"20001",46,33
"526",2014,"20001",46,37
"527",2015,"20001",15,18
"528",2016,"20001",12,13
"529",2017,"20001",58,66
"530",2018,"20001",52,56
"531",2009,"21003",193,122
"532",2010,"21003",207,117
"533",2011,"21003",203,120
"534",2012,"21003",221,132
"535",2013,"21003",232,89
"536",2014,"21003",162,63
"537",2015,"21003",171,88
"538",2016,"21003",153,72
"539",2017,"21003",121,42
"540",2018,"21003",116,89
"541",2009,"39003",579,190
"542",2010,"39003",684,198
"543",2011,"39003",891,261
"544",2012,"39003",730,223
"545",2013,"39003",828,244
"546",2014,"39003",724,231
"547",2015,"39003",588,155
"548",2016,"39003",597,206
"549",2017,"39003",704,240
"550",2018,"39003",681,257
"551",2009,"22003",485,128
"552",2010,"22003",599,123
"553",2011,"22003",772,193
"554",2012,"22003",1140,227
"555",2013,"22003",1019,235
"556",2014,"22003",1075,291
"557",2015,"22003",643,214
"558",2016,"22003",738,315
"559",2017,"22003",816,211
"560",2018,"22003",898,194
"561",2009,"45005",225,215
"562",2010,"45005",97,54
"563",2011,"45005",111,103
"564",2012,"45005",73,58
"565",2013,"45005",88,62
"566",2014,"45005",80,69
"567",2015,"45005",54,42
"568",2016,"45005",69,49
"569",2017,"45005",106,99
"570",2018,"45005",77,64
"571",2009,"26007",126,85
"572",2010,"26007",139,83
"573",2011,"26007",225,97
"574",2012,"26007",210,108
"575",2013,"26007",167,72
"576",2014,"26007",164,73
"577",2015,"26007",137,66
"578",2016,"26007",149,74
"579",2017,"26007",179,78
"580",2018,"26007",218,84
"581",2009,"06003",18,20
"582",2010,"06003",36,31
"583",2011,"06003",27,18
"584",2012,"06003",27,25
"585",2013,"06003",17,21
"586",2014,"06003",15,14
"587",2015,"06003",15,24
"588",2016,"06003",16,12
"589",2017,"06003",9,12
"590",2018,"06003",12,14
"591",2009,"06005",994,190
"592",2010,"06005",1258,301
"593",2011,"06005",1074,253
"594",2012,"06005",1070,246
"595",2013,"06005",1079,226
"596",2014,"06005",1133,238
"597",2015,"06005",920,220
"598",2016,"06005",1033,234
"599",2017,"06005",943,187
"600",2018,"06005",933,171
"601",2009,"51007",435,238
"602",2010,"51007",349,167
"603",2011,"51007",231,147
"604",2012,"51007",132,106
"605",2013,"51007",89,93
"606",2014,"51007",67,93
"607",2015,"51007",10,18
"608",2016,"51007",15,29
"609",2017,"51007",49,60
"610",2018,"51007",69,62
"611",2009,"51009",265,169
"612",2010,"51009",373,178
"613",2011,"51009",280,179
"614",2012,"51009",369,201
"615",2013,"51009",340,135
"616",2014,"51009",289,135
"617",2015,"51009",330,114
"618",2016,"51009",278,90
"619",2017,"51009",235,77
"620",2018,"51009",230,106
"621",2009,"28005",28,44
"622",2010,"28005",26,43
"623",2011,"28005",29,53
"624",2012,"28005",47,61
"625",2013,"28005",45,58
"626",2014,"28005",10,17
"627",2015,"28005",25,29
"628",2016,"28005",36,38
"629",2017,"28005",29,29
"630",2018,"28005",39,36
"631",2009,"02020",10787,894
"632",2010,"02020",12100,899
"633",2011,"02020",11610,719
"634",2012,"02020",12599,888
"635",2013,"02020",12322,967
"636",2014,"02020",12767,1210
"637",2015,"02020",12926,1094
"638",2016,"02020",12409,1217
"639",2017,"02020",12191,1294
"640",2018,"02020",11912,1124
"641",2009,"20003",27,30
"642",2010,"20003",32,35
"643",2011,"20003",17,19
"644",2012,"20003",18,18
"645",2013,"20003",5,9
"646",2014,"20003",10,12
"647",2015,"20003",13,12
"648",2016,"20003",10,15
"649",2017,"20003",29,29
"650",2018,"20003",29,37
"651",2009,"21005",87,61
"652",2010,"21005",121,55
"653",2011,"21005",71,47
"654",2012,"21005",102,54
"655",2013,"21005",112,88
"656",2014,"21005",115,107
"657",2015,"21005",136,79
"658",2016,"21005",201,106
"659",2017,"21005",294,134
"660",2018,"21005",239,133
"661",2009,"45007",2510,419
"662",2010,"45007",3299,441
"663",2011,"45007",2915,458
"664",2012,"45007",2784,520
"665",2013,"45007",2881,542
"666",2014,"45007",2834,532
"667",2015,"45007",2729,542
"668",2016,"45007",3262,463
"669",2017,"45007",3137,529
"670",2018,"45007",3119,489
"671",2009,"47001",1052,277
"672",2010,"47001",1362,333
"673",2011,"47001",1104,283
"674",2012,"47001",1329,282
"675",2013,"47001",1356,297
"676",2014,"47001",1284,251
"677",2015,"47001",1294,273
"678",2016,"47001",1426,284
"679",2017,"47001",1476,261
"680",2018,"47001",1531,266
"681",2009,"48001",2151,370
"682",2010,"48001",2688,503
"683",2011,"48001",2844,514
"684",2012,"48001",3105,396
"685",2013,"48001",2905,397
"686",2014,"48001",2728,444
"687",2015,"48001",2834,460
"688",2016,"48001",2562,459
"689",2017,"48001",2596,498
"690",2018,"48001",2404,531
"691",2009,"29003",158,72
"692",2010,"29003",131,62
"693",2011,"29003",68,57
"694",2012,"29003",15,23
"695",2013,"29003",10,16
"696",2014,"29003",20,22
"697",2015,"29003",33,29
"698",2016,"29003",47,33
"699",2017,"29003",36,27
"700",2018,"29003",54,32
"701",2009,"48003",928,265
"702",2010,"48003",1213,278
"703",2011,"48003",1513,298
"704",2012,"48003",1676,381
"705",2013,"48003",1689,374
"706",2014,"48003",1344,342
"707",2015,"48003",1503,350
"708",2016,"48003",1539,405
"709",2017,"48003",1439,383
"710",2018,"48003",1747,460
"711",2009,"23001",2452,542
"712",2010,"23001",1839,385
"713",2011,"23001",2044,362
"714",2012,"23001",1919,314
"715",2013,"23001",1947,345
"716",2014,"23001",1646,280
"717",2015,"23001",1530,293
"718",2016,"23001",1502,297
"719",2017,"23001",1452,258
"720",2018,"23001",1637,299
"721",2009,"48005",4697,681
"722",2010,"48005",5027,684
"723",2011,"48005",4585,603
"724",2012,"48005",4769,486
"725",2013,"48005",4988,505
"726",2014,"48005",5152,589
"727",2015,"48005",5447,586
"728",2016,"48005",4906,482
"729",2017,"48005",4716,522
"730",2018,"48005",5118,572
"731",2009,"24003",17055,1161
"732",2010,"24003",20572,1459
"733",2011,"24003",20823,1592
"734",2012,"24003",21852,1647
"735",2013,"24003",22026,1395
"736",2014,"24003",21261,1394
"737",2015,"24003",21860,1726
"738",2016,"24003",22433,1489
"739",2017,"24003",21832,1259
"740",2018,"24003",21506,1550
"741",2009,"27003",11163,1033
"742",2010,"27003",11369,1223
"743",2011,"27003",11342,994
"744",2012,"27003",11063,1008
"745",2013,"27003",10161,966
"746",2014,"27003",10027,882
"747",2015,"27003",10540,815
"748",2016,"27003",10423,800
"749",2017,"27003",11080,784
"750",2018,"27003",11701,791
"751",2009,"37007",241,56
"752",2010,"37007",297,126
"753",2011,"37007",576,87
"754",2012,"37007",582,123
"755",2013,"37007",611,71
"756",2014,"37007",649,78
"757",2015,"37007",650,72
"758",2016,"37007",713,97
"759",2017,"37007",600,143
"760",2018,"37007",472,182
"761",2009,"31003",27,17
"762",2010,"31003",50,25
"763",2011,"31003",46,23
"764",2012,"31003",69,23
"765",2013,"31003",68,30
"766",2014,"31003",59,19
"767",2015,"31003",85,15
"768",2016,"31003",82,18
"769",2017,"31003",83,20
"770",2018,"31003",77,16
"771",2009,"26009",131,62
"772",2010,"26009",241,178
"773",2011,"26009",180,90
"774",2012,"26009",162,78
"775",2013,"26009",131,56
"776",2014,"26009",190,82
"777",2015,"26009",212,76
"778",2016,"26009",223,74
"779",2017,"26009",202,86
"780",2018,"26009",206,84
"781",2009,"04001",688,214
"782",2010,"04001",715,211
"783",2011,"04001",786,186
"784",2012,"04001",708,198
"785",2013,"04001",821,197
"786",2014,"04001",1026,235
"787",2015,"04001",1008,214
"788",2016,"04001",889,156
"789",2017,"04001",1059,253
"790",2018,"04001",817,314
"791",2009,"19007",29,25
"792",2010,"19007",33,23
"793",2011,"19007",49,23
"794",2012,"19007",39,30
"795",2013,"19007",26,19
"796",2014,"19007",41,25
"797",2015,"19007",69,33
"798",2016,"19007",73,32
"799",2017,"19007",75,29
"800",2018,"19007",75,36
"801",2009,"13001",743,112
"802",2010,"13001",945,227
"803",2011,"13001",764,322
"804",2012,"13001",838,229
"805",2013,"13001",827,277
"806",2014,"13001",596,270
"807",2015,"13001",513,233
"808",2016,"13001",566,234
"809",2017,"13001",465,165
"810",2018,"13001",425,166
"811",2009,"51011",27,33
"812",2010,"51011",70,62
"813",2011,"51011",61,66
"814",2012,"51011",64,59
"815",2013,"51011",71,49
"816",2014,"51011",70,65
"817",2015,"51011",48,43
"818",2016,"51011",79,65
"819",2017,"51011",102,72
"820",2018,"51011",123,70
"821",2009,"48007",642,169
"822",2010,"48007",699,224
"823",2011,"48007",859,268
"824",2012,"48007",859,266
"825",2013,"48007",886,308
"826",2014,"48007",817,296
"827",2015,"48007",869,302
"828",2016,"48007",615,259
"829",2017,"48007",715,313
"830",2018,"48007",990,512
"831",2009,"08005",51778,2088
"832",2010,"08005",54324,2208
"833",2011,"08005",54843,2207
